raw_name,accepted_name,gbif_key,genus,family,order,class,phylum,kingdom,status,match_type,confidence,ok,reason,retrieved_at
Piper nigrum,Piper nigrum,3086357,Piper,Piperaceae,Piperales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Pistacia lentiscus,Pistacia lentiscus,3190583,Pistacia,Anacardiaceae,Sapindales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Pistacia vera,Pistacia vera,3190585,Pistacia,Anacardiaceae,Sapindales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,98,True,,2026-08-20
Pisum sativum,Lathyrus oleraceus,5347846,Lathyrus,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,98,True,,2026-08-20
Pittosporum viridiflorum,Pittosporum viridiflorum,2986302,Pittosporum,Pittosporaceae,Apiales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Plantago lanceolata,Plantago lanceolata,8208358,Plantago,Plantaginaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,98,True,,2026-08-20
Plantago major,Plantago major,3189767,Plantago,Plantaginaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Plantago ovata,Plantago ovata,3189723,Plantago,Plantaginaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Plantago psyllium,Plantago psyllium,8062613,Plantago,Plantaginaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Platanus occidentalis,Platanus occidentalis,3152820,Platanus,Platanaceae,Proteales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
