raw_name,accepted_name,gbif_key,genus,family,order,class,phylum,kingdom,status,match_type,confidence,ok,reason,retrieved_at
Agastache rugosa,Agastache rugosa,7307327,Agastache,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Agave americana,Agave americana,2767031,Agave,Asparagaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Agave atrovirens,Agave atrovirens,2766552,Agave,Asparagaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,98,True,,2026-08-20
Agave rigida,Agave angustifolia,7331215,Agave,Asparagaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,98,True,,2026-08-20
Agave tequilana,Agave tequilana,2766899,Agave,Asparagaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Ageratum conyzoides,Ageratum conyzoides,5401673,Ageratum,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Aglaia odorata,Aglaia odorata,5597349,Aglaia,Meliaceae,Sapindales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Agonis fragrans,Taxandria fragrans,3185904,Taxandria,Myrtaceae,Myrtales,Magnoliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,98,True,,2026-08-20
Agrimonia eupatoria,Agrimonia eupatoria,3001956,Agrimonia,Rosaceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,98,True,,2026-08-20
Agrimonia pilosa,Agrimonia pilosa,3002003,Agrimonia,Rosaceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Agropyron cristatum,Agropyron cristatum,2705196,Agropyron,Poaceae,Poales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,98,True,,2026-08-20
Agropyron repens,Elymus repens,5290299,Elymus,Poaceae,Poales,Liliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,98,True,,2026-08-20
Ailanthus altissima,Ailanthus altissima,3190653,Ailanthus,Simaroubaceae,Sapindales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Ajuga nipponensis,Ajuga nipponensis,7307111,Ajuga,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Ajuga reptans,Ajuga reptans,2927078,Ajuga,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Ajuga turkestanica,Ajuga turkestanica,4931002,Ajuga,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Akebia quinata,Akebia quinata,3033965,Akebia,Lardizabalaceae,Ranunculales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Akebia trifoliata,Akebia trifoliata,7306109,Akebia,Lardizabalaceae,Ranunculales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Alaria esculenta,Alaria esculenta,5422592,Alaria,Alariaceae,Laminariales,Phaeophyceae,Ochrophyta,Chromista,ACCEPTED,EXACT,99,True,,2026-08-20
