COSING Ref No,INCI name,INN name,Ph. Eur. Name,CAS No,Chem/IUPAC Name / Description,Restriction,Function,Update Date
57734,JASMINUM OFFICINALE FLOWER CERA,,, 90045-94-6,"Jasminum Officinale Flower Cera is the wax obtained from the flower of the Jasmine, Jasminum officinale L., Oleaceae",,"EMOLLIENT, SKIN CONDITIONING",15/10/2010
77966,JASMINUM OFFICINALE FLOWER EXTRACT,,, 90045-94-6,"Jasminum Officinale Flower Extract is an extract of the flowers of the Jasmine, Jasminum officinale L., Oleaceae",,"MASKING, PERFUMING",15/10/2010
82275,JASMINUM OFFICINALE FLOWER POWDER,,, 90045-94-6,"Jasminum Officinale Flower Powder is a powder obtained from the flowers of the Jasmine, Jasminum officinale L., Oleaceae",,SKIN CONDITIONING,15/10/2010
57735,JASMINUM OFFICINALE FLOWER WATER,,, 90045-94-6,"Jasminum Officinale Flower Water is an aqueous solution of the steam distillate obtained from the flowers of the Jasmine, Jasminum officinale L., Oleaceae",,MASKING,15/10/2010
84224,JASMINUM OFFICINALE FLOWER/LEAF EXTRACT,,, 90045-94-6,"Jasminum Officinale Flower/Leaf Extract is an extract of the flowers and leaves of the Jasmine, Jasminum officinale L., Oleaceae",,"MASKING, MOISTURISING, PERFUMING, SKIN CONDITIONING, SOOTHING",15/10/2010
34592,IRIS VERSICOLOR EXTRACT,,, 90045-93-5,"Iris Versicolor Extract is an extract of the roots of the Blue Flag, Iris versicolor L., Iridaceae",,"EMOLLIENT, MASKING, TONIC",15/10/2010
89139,IRIS VERSICOLOR ROOT EXTRACT,,, 90045-93-5,Iris Versicolor Root Extract is the extract of the roots of Iris versicolor,,SKIN CONDITIONING,29/10/2012
56775,IRIS PSEUDACORUS EXTRACT,,, 90045-91-3,"Iris Pseudacorus Extract is an extract of the whole plant of the Yellow Flag, Iris pseudacorus L., Iridaceae",,SKIN CONDITIONING,15/10/2010
56776,IRIS PSEUDACORUS LEAF EXTRACT,,, 90045-91-3,"Iris Pseudacorus Leaf Extract is an extract of the leaves of the Yellow Flag, Iris pseudacorus L., Iridaceae",,SKIN CONDITIONING,15/10/2010
40308,IRIS PSEUDACORUS ROOT EXTRACT,,, 90045-91-3,"Iris pseudacorus Root Extract is an extract obtained from the rhizomes of the plant of the Yellow Flag, Iris pseudacorus L., Iridaceae",,PERFUMING,02/03/2011
86844,IRIS PALLIDA LEAF CELL EXTRACT,,, 90045-90-2,"Iris Pallida Leaf Cell Extract is the extract of a culture of the leaf cells of the Pale Flag, Iris pallida, Iridaceae",,"ANTIOXIDANT, SKIN PROTECTING",15/10/2010
76807,IRIS PALLIDA ROOT EXTRACT,,, 90045-90-2,"Iris Pallida Root Extract is an extract of the roots of the Pale Flag, Iris pallida, Iridaceae",,"MASKING, PERFUMING, TONIC",15/10/2010
40307,IRIS PALLIDA ROOT OIL,,, 90045-90-2,"Iris Pallida Root Oil is an essential oil obtained from the rhizomes of the plant of the Pale Flag, Iris pallida, Iridaceae",,PERFUMING,02/03/2011
56771,IRIS FLORENTINA FLOWER CERA,,, 90045-89-9,"Iris Florentina Flower Cera is the wax obtained from the flowers of the Orris, Iris florentina L., Iridaceae",,SKIN CONDITIONING,15/10/2010
88092,IRIS FLORENTINA FLOWER EXTRACT,,, 90045-89-9,"Iris Florentina Flower Extract is the extract of the flowers of Iris florentina, Iridaceae",,"EMOLLIENT, SKIN CONDITIONING",21/05/2014
84139,IRIS FLORENTINA FLOWER WATER,,, 90045-89-9,"Iris Florentina Flower Water is the aqueous solution of the steam distillates obtained from the flowers of the Orris, Iris florentina L., Iridaceae",,"FLAVOURING, MASKING, PERFUMING, SKIN CONDITIONING",15/10/2010
34588,IRIS FLORENTINA ROOT,,, 90045-89-9,"Iris Florentina Root is the dried root of the Orris, Iris florentina L., Iridaceae",,"MASKING, TONIC",15/10/2010
56772,IRIS FLORENTINA ROOT EXTRACT,,, 90045-89-9,"Iris Florentina Root Extract is an extract of the roots of the Orris, Iris florentina L., Iridaceae",,"MASKING, TONIC",15/10/2010
96631,IRIS FLORENTINA ROOT WATER,,, 90045-89-9,"Iris Florentina Root Water is an aqueous solution of the steam distillates obtained from the roots of Iris florentina, Iridaceae (The accepted scientific name for Iris florentina is Iris x germanica).",,"HUMECTANT, SKIN CONDITIONING",05/04/2019
40304,IRIS GERMANICA FLORENTINA ROOT EXTRACT,,, 90045-89-9,"Iris Germanica Florentina Root Extract is an extract obtained from the rhizomes of the plant of the German Flag, Iris germanica L. florentina, Iridaceae",,PERFUMING,02/03/2011
40305,IRIS GERMANICA FLORENTINA ROOT OIL,,, 90045-89-9,"Iris Germanica Florentina Root is an essential oil obtained from the rhizomes of the plant the German Flag, Iris germanica L. florentina, Iridaceae",,PERFUMING,02/03/2011
87530,IPOMOEA HEDERACEA CALLUS CULTURE EXTRACT,,, 90045-87-7,Ipomoea Hederacea Callus Culture Extract is the extract of a culture of the callus of Ipomoea hederacea.,,,11/07/2012
56766,IPOMOEA HEDERACEA SEED EXTRACT,,, 90045-87-7,"Ipomoea Hederacea Seed Extract is an extract of the seeds of the Morning Glory, Ipomoea hederacea L., Convolvulaceae",,SKIN PROTECTING,15/10/2010
